city_code,city,date,week,cases,cases100k,deaths,deaths100k,death_rate,pop,state,state_code,rgint_code,rgint,rgi_code,rgi,regsaude,nome_reg,id
"1300029",ALVARÃES,2021/07/09,"202127","2886",17792.848340000000462,"46",286.765164266566899,"0.0159","16220",AM,"13",1302.000000000000000,Tefé,130005.000000000000000,Tefé,"13008",Triângulo,"34"
"1300060",AMATURÁ,2021/07/09,"202127","2357",20083.503749999999854,"17",147.364771151178957,"0.0072","11736",AM,"13",1302.000000000000000,Tefé,130006.000000000000000,Tabatinga,"13009",Alto Solimões,"29"
"1300086",ANAMÃ,2021/07/09,"202127","1807",12947.836059999999634,"9",66.108417805200531,"0.0050","13956",AM,"13",1301.000000000000000,Manaus,130004.000000000000000,Manacapuru,"13002",Rio Negro e Solimões,"61"
"1300102",ANORI,2021/07/09,"202127","1888",8790.799460000000181,"31",147.548786292241800,"0.0164","21477",AM,"13",1301.000000000000000,Manaus,130003.000000000000000,Coari,"13002",Rio Negro e Solimões,"41"
"1300144",APUÍ,2021/07/09,"202127","1426",6377.744980000000396,"31",141.082237291221048,"0.0217","22359",AM,"13",1303.000000000000000,Lábrea,130009.000000000000000,Manicoré,"13003",Rio Madeira,"14"
"1300201",ATALAIA DO NORTE,2021/07/09,"202127","2805",13751.348169999999300,"10",50.198283218713918,"0.0036","20398",AM,"13",1302.000000000000000,Tefé,130006.000000000000000,Tabatinga,"13009",Alto Solimões,"27"
"1300300",AUTAZES,2021/07/09,"202127","2871",7125.837679999999636,"95",240.111209402249472,"0.0331","40290",AM,"13",1301.000000000000000,Manaus,130001.000000000000000,Manaus,"13001","Manaus, Entorno e Alto Rio Negro","4"
"1300409",BARCELOS,2021/07/09,"202127","4379",15844.127650000000358,"60",218.165951567158743,"0.0137","27638",AM,"13",1301.000000000000000,Manaus,130002.000000000000000,São Gabriel da Cachoeira,"13001","Manaus, Entorno e Alto Rio Negro","21"
"1300508",BARREIRINHA,2021/07/09,"202127","2432",7486.993199999999888,"62",193.502075465809440,"0.0255","32483",AM,"13",1304.000000000000000,Parintins,130010.000000000000000,Parintins,"13005",Baixo Amazonas,"17"
"1300607",BENJAMIN CONSTANT,2021/07/09,"202127","2698",6140.889949999999772,"87",202.400893355667222,"0.0322","43935",AM,"13",1302.000000000000000,Tefé,130006.000000000000000,Tabatinga,"13009",Alto Solimões,"24"
"1300631",BERURI,2021/07/09,"202127","2256",11227.790769999999611,"34",172.773006758473514,"0.0151","20093",AM,"13",1301.000000000000000,Manaus,130003.000000000000000,Coari,"13002",Rio Negro e Solimões,"42"
"1300680",BOA VISTA DO RAMOS,2021/07/09,"202127","967",4927.137469999999666,"12",62.477221846201907,"0.0124","19626",AM,"13",1304.000000000000000,Parintins,130010.000000000000000,Parintins,"13005",Baixo Amazonas,"19"
